"tagID","tagProjectID","dateBin","mfgID","period","tagDeployID","utcYearStart","utcMonthStart","utcDayStart","utcHourStart","utcMinuteStart","utcYearEnd","utcMonthEnd","utcDayEnd","utcHourEnd","utcMinuteEnd","deferSec","speciesName","bandNumber","markerNumber","markerType","decimalLatitude","decimalLongitude","elevationMeters","sex","age","weightGrams","wingMillimeters","tarsusMillimeters","culmenMillimeters","billMillimeters","headMillimeters","fatScore","comments","test"
"36610","4","2019-3","186","19.89780044555664","24668","2019","8","7","15","0","","","","","","0.0","Passerina ciris","2811-03553","","","32.61940000","-80.06625800","","F","SY","","","","","","","","","false"
"36611","4","2019-3","187","19.89780044555664","24669","2019","8","7","19","24","","","","","","0.0","Passerina ciris","2811-05605","","","32.61205700","-80.08477000","","U","HY","","","","","","","","","false"
"36612","4","2019-3","188","19.897899627685547","24670","2019","8","7","15","55","","","","","","0.0","Passerina ciris","2811-03597","","","32.61940000","-80.06625800","","U","HY","","","","","","","","","false"
"36613","4","2019-3","189","19.898000717163086","24671","2019","8","7","20","5","","","","","","0.0","Passerina ciris","2811-03568","","","32.61205700","-80.08477000","","U","SY","","","","","","","","","false"
"36614","4","2019-3","190","19.89780044555664","24672","2019","8","7","19","54","","","","","","0.0","Passerina ciris","2631-40460","","","32.61205700","-80.08477000","","F","ASY","","","","","","","","","false"
"36615","4","2019-3","191","19.897600173950195","24673","2019","8","7","16","15","","","","","","0.0","Passerina ciris","2631-40252","","","32.61940000","-80.06625800","","F","ASY","","","","","","","","","false"
"36616","4","2019-3","192","19.897899627685547","24674","2019","8","8","0","15","","","","","","0.0","Passerina ciris","2811-05609","","","32.62068500","-80.06050100","","M","ASY","","","","","","","","","false"
"36617","4","2019-3","193","19.8971004486084","24675","2019","8","7","20","20","","","","","","0.0","Passerina ciris","2721-91039","","","32.61205700","-80.08477000","","M","ASY","","","","","","","","","false"
"36618","4","2019-3","194","19.896900177001953","24676","2019","8","7","16","54","","","","","","0.0","Passerina ciris","2401-09676","","","32.62068500","-80.06050100","","M","ASY","","","","","","","","","false"
"36619","4","2019-3","195","19.898099899291992","24677","2019","8","8","20","5","","","","","","0.0","Passerina ciris","2721-63266","","","32.60511200","-80.07132000","","F","ASY","","","","","","","","","false"
"36620","4","2019-3","196","19.897899627685547","24678","2019","8","8","19","30","","","","","","0.0","Passerina ciris","2811-05617","","","32.60511200","-80.07132000","","F","ASY","","","","","","","","","false"
"36621","4","2019-3","197","19.89699935913086","24679","2019","8","9","1","15","","","","","","0.0","Passerina ciris","2811-03593","","","32.61804100","-80.05788300","","F","ASY","","","","","","","","","false"
"36622","4","2019-3","198","19.8981990814209","24680","2019","8","9","3","5","","","","","","0.0","Passerina ciris","2811-05626","","","32.60511200","-80.07132000","","U","HY","","","","","","","","","false"
"36623","4","2019-3","199","19.897899627685547","24681","2019","8","8","2","0","","","","","","0.0","Passerina ciris","2811-05610","","","32.62220800","-80.06051800","","M","ASY","","","","","","","","","false"
